home_team_enc,away_team_enc,home_wins_last3y,home_draws_last3y,home_losses_last3y,home_goals_for_last3y,home_goals_against_last3y,away_wins_last3y,away_draws_last3y,away_losses_last3y,away_goals_for_last3y,away_goals_against_last3y,home_h2h_winrate,result,date,home_team,away_team,result_enc
26,18,2.0,1.0,3.0,8.0,13.0,3.0,3.0,0.0,12.0,5.0,0.3333333333333333,A,2012-06-30,NAUTICO,FLUMINENSE,0
35,29,4.0,1.0,1.0,11.0,8.0,2.0,3.0,1.0,6.0,5.0,0.3333333333333333,H,2012-06-30,VASCO DA GAMA,PONTE PRETA,2
5,22,1.0,3.0,2.0,5.0,6.0,3.0,2.0,1.0,9.0,5.0,0.16666666666666666,D,2012-07-01,BAHIA,INTERNACIONAL,1
11,34,2.0,1.0,3.0,10.0,10.0,1.0,2.0,3.0,4.0,7.0,0.3333333333333333,A,2012-07-01,CORITIBA,SPORT RECIFE,0
30,32,2.0,1.0,3.0,5.0,8.0,0.0,4.0,2.0,3.0,5.0,0.3333333333333333,D,2012-07-01,PORTUGUESA,SANTOS,1
17,2,2.0,3.0,1.0,10.0,9.0,0.0,2.0,4.0,2.0,11.0,0.3333333333333333,H,2012-07-01,FLAMENGO RJ,ATLETICO GO,2
21,3,4.0,0.0,2.0,7.0,3.0,4.0,1.0,1.0,9.0,3.0,0.5,A,2012-07-01,GREMIO,ATLETICO-MG,0
27,16,0.0,2.0,4.0,4.0,8.0,1.0,4.0,1.0,6.0,6.0,0.0,H,2012-07-01,PALMEIRAS,FIGUEIRENSE,2
6,5,3.0,0.0,3.0,14.0,13.0,1.0,4.0,2.0,6.0,7.0,0.16666666666666666,H,2012-07-07,BOTAFOGO RJ,BAHIA,2
22,13,3.0,3.0,1.0,10.0,6.0,4.0,2.0,1.0,10.0,6.0,0.3333333333333333,H,2012-07-07,INTERNACIONAL,CRUZEIRO,2
2,26,0.0,2.0,5.0,4.0,14.0,2.0,1.0,4.0,8.0,15.0,0.0,A,2012-07-08,ATLETICO GO,NAUTICO,0
16,35,1.0,4.0,2.0,7.0,9.0,5.0,1.0,1.0,14.0,10.0,0.16666666666666666,D,2012-07-08,FIGUEIRENSE,VASCO DA GAMA,1
18,17,4.0,3.0,0.0,14.0,5.0,3.0,3.0,1.0,13.0,11.0,0.16666666666666666,H,2012-07-08,FLUMINENSE,FLAMENGO RJ,2
32,21,0.0,5.0,2.0,3.0,5.0,4.0,0.0,3.0,7.0,4.0,0.0,H,2012-07-08,SANTOS,GREMIO,2
33,11,4.0,0.0,3.0,8.0,8.0,2.0,1.0,4.0,12.0,13.0,0.5,H,2012-07-08,SAO PAULO,CORITIBA,2
3,30,5.0,1.0,1.0,10.0,3.0,2.0,2.0,3.0,5.0,8.0,0.3333333333333333,H,2012-07-08,ATLETICO-MG,PORTUGUESA,2
29,27,2.0,3.0,2.0,8.0,8.0,1.0,2.0,4.0,7.0,9.0,0.16666666666666666,H,2012-07-08,PONTE PRETA,PALMEIRAS,2
